slip_front_mean,slip_front_std,slip_front_max,slip_rear_mean,slip_rear_std,slip_rear_max,yaw_accel_std,az_std,sideslip_ratio_mean,yaw_rate_mean,ax_std,ay_std,speed_mean,steering_std,terrain_label
5.794367519027754,25.399802054856867,234.95791613746619,10.033714551899946,58.317937861646925,534.8240149599751,1.563380946397612,15.576729435802418,0.11109890471963858,0.11898843318742644,3.4306283879636292,1.8500998061769383,0.9988454623694397,0.5286453441041155,dirt
5.301345486071043,25.375699020898182,234.95791613746619,8.980139864345793,58.43046009877353,534.8240149599751,1.3116312877834624,14.267713285431297,0.07777615376034698,0.09073722093223381,3.069185971825544,1.7767753021948998,1.6853609749663665,0.35943920431249843,dirt
1.72982439822076,2.0005665435790925,11.92491300186372,0.34023457553959846,0.30065822753159654,1.136307061343212,0.9085339344819232,3.9291095914702425,0.029180800399870466,0.06460684257755915,1.5641174986377078,1.1613446345958516,2.337398271483222,0.2977860702964827,dirt
0.9750762833310149,1.549167669864832,11.92491300186372,0.19377940061573723,0.1691646111591698,0.9338510808495369,0.8721492377947253,1.9935116194045956,0.020860869462376325,0.0361466214162831,1.5110816568742695,1.1608128501624215,2.9319276512826176,0.2103050456021426,dirt
0.37355024411649246,0.33120340524952174,1.7095627328493503,0.11830079568467367,0.06991927236041107,0.2985823786863554,0.7978718251357882,1.925701221263976,0.018367169779542575,0.02583155023706351,1.3003683110787556,1.3157334045049924,3.4494577878795565,0.18132260434003605,dirt
0.19606863712706168,0.19108616224926667,1.2243914187157534,0.07670908733297217,0.05986401108517396,0.24230261809071513,0.6735501676231668,1.8399068984233538,0.014690121589642805,0.023810331224356697,1.427978494880742,1.2647073424306603,3.8308527501579386,0.14852451342010872,dirt
0.09630965377939826,0.05046878912476376,0.20869081396056927,0.05010901890701312,0.05294740290550806,0.24230261809071513,0.23086408088503274,1.8092073305713963,0.014733024909412366,0.032660291972724305,1.3563980916178555,1.3296615396103213,4.119021458360749,0.0841163744256305,dirt
0.09672785994674801,0.08813272428858905,0.40356608984836817,0.040216200308286494,0.06468718525844253,0.3566359123859776,0.21777850482841526,1.251153750429624,0.019992339275855118,0.06627445059217403,1.392170753264878,1.283919223447754,4.323865949249692,0.10983932078290182,dirt
0.1402081312624344,0.12605262097892403,0.40356608984836817,0.04997433758844722,0.06526823393802272,0.3566359123859776,0.21147966869230236,0.5321966307680972,0.026832585593044737,0.10699386049926944,1.5545731690891949,1.2198791328693002,4.600215968558823,0.11568922231778962,dirt
0.1719481655711987,0.12353262565238363,0.40356608984836817,0.06404575204528676,0.06377161231876079,0.3566359123859776,0.19812935020667916,0.42204959487891547,0.03262880792738868,0.15865074435094217,1.3939380145305085,1.211061157959611,4.944421600337701,0.07802053828994192,dirt
0.20987266430518356,0.09944726741394315,0.40356608984836817,0.07323889484486569,0.05909892831674167,0.3566359123859776,0.2936652166333853,0.3595652386743904,0.03353890516291883,0.19057298926286217,1.4550935588518101,1.1848413232444759,5.353804893196404,0.050199485099840915,dirt
0.22032516265424662,0.05341822511221148,0.35403691636088747,0.06079166867950904,0.017702134783507694,0.09756032208597593,0.30445963248669794,0.2299034971312659,0.030836060442012068,0.18909204829141785,1.391268091292183,1.272753478797589,5.8293271908866515,0.10182631888748661,dirt
