time,x,y,psi,u,v,omega,theta,pos_err,e_lat,v_max_path,delta_cmd,ax_cmd,vtheta_cmd,steering,throttle,braking,solve_time_ms,mpc_cost
0.0120,0.0923,0.0411,0.0062,0.0275,-0.0107,-0.0009,0.0000,0.1011,0.0411,3.0533,0.1000,-0.3000,1.4147,0.1894,0.0000,0.1000,1.376,262840.8103
0.0240,-0.0315,0.0050,-0.0001,-0.0712,0.0208,-0.0053,0.0000,0.0319,0.0050,3.0533,0.1120,-0.3360,1.4147,0.2121,0.0000,0.1120,0.902,19235.1682
0.0360,-0.0765,0.1106,0.0087,-0.0468,-0.0159,-0.0342,0.0000,0.1344,0.1106,3.0533,0.1240,-0.3720,1.4147,0.2348,0.0000,0.1240,0.862,19235.1682
0.0480,0.0258,-0.0310,-0.0061,-0.0685,-0.1047,-0.0142,0.0000,0.0404,-0.0310,3.0533,0.1360,-0.4080,1.4147,0.2575,0.0000,0.1360,0.854,19235.1682
0.0600,0.0414,-0.0072,0.0001,-0.0353,-0.0700,-0.0040,0.0000,0.0420,-0.0072,3.0533,0.1480,-0.4440,1.4147,0.2803,0.0000,0.1480,0.859,19235.1682
0.0720,0.0787,-0.0319,0.0035,0.0578,-0.0251,0.0005,0.0000,0.0849,-0.0319,3.0533,0.1360,-0.4080,5.0000,0.2575,0.0000,0.1360,0.863,3822.2372
0.0840,0.1336,-0.0194,0.0032,0.0094,0.0366,0.0101,0.2500,0.1180,-0.0194,2.8849,0.1240,-0.3720,5.0000,0.2348,0.0000,0.1240,0.992,210482.9517
0.0960,0.0326,-0.0291,0.0036,0.0045,-0.0189,0.0112,0.0000,0.0437,-0.0291,3.0533,0.1359,-0.3360,2.4660,0.2574,0.0000,0.1120,1.304,13186688.4909
0.1080,0.0802,0.0031,-0.0049,-0.0154,-0.0086,-0.0135,0.0000,0.0802,0.0031,3.0533,0.1239,-0.3000,2.5032,0.2347,0.0000,0.1000,1.255,9512545.9480
0.1200,0.0309,-0.0450,0.0006,0.0417,0.0882,-0.0046,0.0000,0.0546,-0.0450,3.0533,0.1119,-0.2870,5.0000,0.2120,0.0000,0.0957,1.087,1698809.9242
0.1320,-0.0189,0.0948,-0.0051,-0.0491,-0.0166,0.0056,0.0000,0.0966,0.0948,3.0533,0.0999,-0.2741,5.0000,0.1893,0.0000,0.0914,1.057,1928692.4737
0.1440,0.0796,-0.0308,0.0027,-0.0811,0.0887,0.0078,0.0000,0.0854,-0.0308,3.0533,0.0879,-0.2611,5.0000,0.1665,0.0000,0.0870,1.076,1928692.4737
0.1560,0.0590,0.0079,-0.0000,0.0567,-0.0042,0.0070,0.0000,0.0595,0.0079,3.0533,0.0759,-0.2251,5.0000,0.1438,0.0000,0.0750,1.114,202015.5657
0.1680,0.0695,-0.0722,0.0012,-0.1046,0.0223,0.0004,0.0000,0.1002,-0.0722,3.0533,0.0639,-0.1891,5.0000,0.1211,0.0000,0.0630,1.151,202015.5657
0.1800,0.0400,-0.0413,0.0063,-0.0196,-0.0961,0.0010,0.0000,0.0576,-0.0413,3.0533,0.0519,-0.1531,5.0000,0.0983,0.0000,0.0510,1.222,202015.5657
0.1920,0.0716,-0.0114,-0.0023,0.0741,-0.0811,0.0044,0.0000,0.0725,-0.0114,3.0533,0.0639,-0.1171,5.0000,0.1211,0.0000,0.0390,1.095,180110.5190
0.2040,0.0279,-0.0318,-0.0070,-0.0586,0.0026,-0.0053,0.0000,0.0423,-0.0318,3.0533,0.0519,-0.0811,5.0000,0.0983,0.0000,0.0270,0.934,192095.7534
0.2160,0.1697,0.0368,-0.0044,0.0028,-0.0751,-0.0102,0.2500,0.0883,0.0368,2.8849,0.0639,-0.0451,5.0000,0.1211,0.0000,0.0150,0.948,181302.2941
0.2280,0.0810,-0.0248,0.0028,-0.0125,-0.0162,-0.0063,0.0000,0.0847,-0.0248,3.0533,0.0519,-0.0091,5.0000,0.0983,0.0000,0.0030,0.875,204402.1892
