t,terrain,n_true,throttle_cmd,steer_cmd,u,v,omega,ax,ay,wheel_omega_fl,wheel_omega_fr,wheel_omega_rl,wheel_omega_rr,steering_angle
0.0000,sand,1.100,0.450,0.0000,-0.0088,-0.0137,-0.0004,-0.6667,-0.0020,-0.0170,-0.0170,-0.0170,-0.0170,0.0000
0.0120,sand,1.100,0.450,0.0126,0.0097,-0.0342,-0.0002,-0.6519,-0.0031,-0.0291,-0.0291,-0.0291,-0.0291,0.0000
0.0240,sand,1.100,0.450,0.0251,-0.0104,0.0796,-0.0029,-0.3805,-0.0130,-0.0060,-0.0060,-0.0060,-0.0060,0.0060
0.0360,sand,1.100,0.450,0.0377,0.0004,-0.0451,-0.0050,-0.0589,0.0960,0.0153,0.0153,0.0153,0.0153,0.0159
0.0480,sand,1.100,0.450,0.0502,-0.0303,-0.0154,-0.0032,0.1301,-0.0319,0.0228,0.0228,0.0228,0.0228,0.0224
0.0600,sand,1.100,0.450,0.0627,0.0992,0.0640,-0.0014,0.9148,0.0009,-0.0167,-0.0167,-0.0167,-0.0167,0.0268
0.0720,sand,1.100,0.450,0.0751,0.0402,-0.0455,-0.0008,0.1755,-0.0980,-0.0196,-0.0196,-0.0196,-0.0196,0.0328
0.0840,sand,1.100,0.450,0.0875,-0.0371,0.0142,-0.0018,0.0257,-0.0444,-0.0116,-0.0116,-0.0116,-0.0116,0.0373
0.0960,sand,1.100,0.450,0.0999,-0.0134,-0.0538,-0.0031,-0.1814,0.1873,-0.0051,-0.0051,-0.0051,-0.0051,0.0465
0.1080,sand,1.100,0.450,0.1121,-0.0590,-0.0645,-0.0024,0.0221,-0.1845,-0.0068,-0.0068,-0.0068,-0.0068,0.0537
0.1200,sand,1.100,0.450,0.1243,0.0441,0.0220,-0.0027,0.0471,-0.0597,-0.0107,-0.0107,-0.0107,-0.0107,0.0584
0.1320,sand,1.100,0.450,0.1365,-0.0497,0.0674,-0.0033,0.2581,-0.0848,-0.0252,-0.0251,-0.0252,-0.0252,0.0663
0.1440,sand,1.100,0.450,0.1485,-0.0405,-0.0655,-0.0040,0.0866,-0.0173,-0.0255,-0.0255,-0.0255,-0.0255,0.0708
0.1560,sand,1.100,0.450,0.1605,-0.0135,0.0294,-0.0018,-0.0130,0.0879,-0.0338,-0.0338,-0.0338,-0.0338,0.0752
0.1680,sand,1.100,0.450,0.1723,-0.0733,0.0445,-0.0041,0.0870,-0.0665,-0.0450,-0.0450,-0.0450,-0.0450,0.0818
0.1800,sand,1.100,0.450,0.1841,-0.0526,-0.0189,-0.0050,0.0835,-0.1052,-0.0520,-0.0520,-0.0520,-0.0520,0.0894
0.1920,sand,1.100,0.450,0.1957,0.0362,0.0038,-0.0034,0.0376,-0.0439,-0.0703,-0.0703,-0.0703,-0.0703,0.0963
0.2040,sand,1.100,0.450,0.2072,-0.0642,-0.0462,-0.0021,0.2554,-0.2180,-0.0823,-0.0823,-0.0823,-0.0823,0.1036
0.2160,sand,1.100,0.450,0.2186,-0.0109,0.0634,-0.0009,-0.1872,1.6770,-0.1049,-0.1049,-0.1049,-0.1049,0.1074
0.2280,sand,1.100,0.450,0.2298,0.0636,0.0588,-0.0006,0.1142,0.0280,-0.1283,-0.1283,-0.1283,-0.1283,0.1125
0.2400,sand,1.100,0.450,0.2409,-0.1211,0.0073,-0.0041,0.0233,-0.4109,-0.1502,-0.1501,-0.1502,-0.1502,0.1186
0.2520,sand,1.100,0.450,0.2518,-0.0807,-0.0813,-0.0037,0.1448,0.1731,-0.1767,-0.1767,-0.1767,-0.1767,0.1260
0.2640,sand,1.100,0.450,0.2626,-0.0238,0.0790,-0.0020,0.0005,-0.1176,-0.2164,-0.2164,-0.2164,-0.2164,0.1320
0.2760,sand,1.100,0.450,0.2732,-0.0119,-0.0703,-0.0027,-0.0701,0.1942,-0.2357,-0.2357,-0.2357,-0.2357,0.1354
