t,terrain,n_true,throttle_cmd,steer_cmd,u,v,omega,ax,ay,wheel_omega_fl,wheel_omega_fr,wheel_omega_rl,wheel_omega_rr,steering_angle
0.0000,dirt,0.700,0.450,0.0000,-0.0669,0.0455,0.0008,-0.6683,0.0029,-0.0170,-0.0170,-0.0170,-0.0170,0.0000
0.0120,dirt,0.700,0.450,0.0126,0.0747,-0.0367,0.0009,-0.6321,-0.0324,-0.0291,-0.0291,-0.0291,-0.0291,0.0000
0.0240,dirt,0.700,0.450,0.0251,-0.0568,0.0465,-0.0025,-0.3883,-0.0212,-0.0060,-0.0060,-0.0060,-0.0060,0.0060
0.0360,dirt,0.700,0.450,0.0377,-0.0536,-0.0006,-0.0046,-0.0596,0.1196,0.0153,0.0153,0.0153,0.0153,0.0159
0.0480,dirt,0.700,0.450,0.0502,-0.0047,-0.0496,-0.0017,0.1287,-0.0175,0.0228,0.0228,0.0228,0.0228,0.0224
0.0600,dirt,0.700,0.450,0.0627,0.0678,-0.0496,-0.0007,0.8757,0.0139,-0.0167,-0.0167,-0.0167,-0.0167,0.0268
0.0720,dirt,0.700,0.450,0.0751,0.0309,-0.0322,-0.0027,0.1914,-0.1116,-0.0196,-0.0196,-0.0196,-0.0196,0.0328
0.0840,dirt,0.700,0.450,0.0875,-0.0123,-0.0192,0.0002,0.0572,-0.0411,-0.0116,-0.0116,-0.0116,-0.0116,0.0373
0.0960,dirt,0.700,0.450,0.0999,0.0032,-0.0004,-0.0037,-0.1677,0.2113,-0.0051,-0.0051,-0.0051,-0.0051,0.0465
0.1080,dirt,0.700,0.450,0.1121,-0.0048,0.0457,-0.0007,0.0275,-0.2218,-0.0068,-0.0068,-0.0068,-0.0068,0.0537
0.1200,dirt,0.700,0.450,0.1243,0.0050,0.0375,-0.0008,0.0252,-0.0448,-0.0107,-0.0107,-0.0107,-0.0107,0.0584
0.1320,dirt,0.700,0.450,0.1365,-0.0110,-0.0439,-0.0040,0.2567,-0.0669,-0.0252,-0.0251,-0.0252,-0.0252,0.0663
0.1440,dirt,0.700,0.450,0.1485,0.0981,0.0450,-0.0035,0.1018,0.0504,-0.0255,-0.0255,-0.0255,-0.0255,0.0708
0.1560,dirt,0.700,0.450,0.1605,-0.0096,-0.0133,-0.0022,-0.0052,0.0515,-0.0338,-0.0338,-0.0338,-0.0338,0.0752
0.1680,dirt,0.700,0.450,0.1723,0.0081,0.0547,-0.0048,0.1090,-0.0776,-0.0450,-0.0450,-0.0450,-0.0450,0.0818
0.1800,dirt,0.700,0.450,0.1841,-0.0027,0.0223,-0.0037,0.0615,-0.0869,-0.0520,-0.0520,-0.0520,-0.0520,0.0894
0.1920,dirt,0.700,0.450,0.1957,-0.0094,0.0040,-0.0029,0.0291,0.0061,-0.0703,-0.0703,-0.0703,-0.0703,0.0963
0.2040,dirt,0.700,0.450,0.2072,0.0087,0.0341,-0.0043,0.2458,-0.2348,-0.0823,-0.0823,-0.0823,-0.0823,0.1036
0.2160,dirt,0.700,0.450,0.2186,-0.0329,0.0011,-0.0012,-0.1848,1.6517,-0.1049,-0.1049,-0.1049,-0.1049,0.1074
0.2280,dirt,0.700,0.450,0.2298,-0.0975,-0.0423,-0.0017,0.0907,0.0148,-0.1283,-0.1283,-0.1283,-0.1283,0.1125
0.2400,dirt,0.700,0.450,0.2409,0.0613,0.0477,-0.0037,0.0567,-0.3970,-0.1502,-0.1501,-0.1502,-0.1502,0.1186
0.2520,dirt,0.700,0.450,0.2518,-0.0236,-0.0881,-0.0039,0.1231,0.1425,-0.1767,-0.1767,-0.1767,-0.1767,0.1260
0.2640,dirt,0.700,0.450,0.2626,-0.0385,-0.0015,-0.0032,-0.0109,-0.1055,-0.2164,-0.2164,-0.2164,-0.2164,0.1320
