t,terrain,n_true,throttle_cmd,steer_cmd,u,v,omega,ax,ay,wheel_omega_fl,wheel_omega_fr,wheel_omega_rl,wheel_omega_rr,steering_angle
0.0000,dirt,0.700,0.450,0.0000,0.0585,0.0031,-0.0010,-0.6796,0.0012,-0.0170,-0.0170,-0.0170,-0.0170,0.0000
0.0120,dirt,0.700,0.450,0.0126,-0.0314,0.0169,-0.0011,-0.6283,0.0009,-0.0291,-0.0291,-0.0291,-0.0291,0.0000
0.0240,dirt,0.700,0.450,0.0251,0.0300,-0.0256,-0.0025,-0.3798,-0.0143,-0.0060,-0.0060,-0.0060,-0.0060,0.0060
0.0360,dirt,0.700,0.450,0.0377,-0.0241,-0.0077,-0.0060,-0.0779,0.0788,0.0153,0.0153,0.0153,0.0153,0.0159
0.0480,dirt,0.700,0.450,0.0502,0.0047,-0.0437,-0.0013,0.1338,-0.0164,0.0228,0.0228,0.0228,0.0228,0.0224
0.0600,dirt,0.700,0.450,0.0627,0.0204,-0.0077,-0.0018,0.8895,-0.0148,-0.0167,-0.0167,-0.0167,-0.0167,0.0268
0.0720,dirt,0.700,0.450,0.0751,-0.0808,-0.0887,-0.0025,0.1565,-0.0728,-0.0196,-0.0196,-0.0196,-0.0196,0.0328
0.0840,dirt,0.700,0.450,0.0875,-0.0169,-0.0550,-0.0040,0.0456,-0.0158,-0.0116,-0.0116,-0.0116,-0.0116,0.0373
0.0960,dirt,0.700,0.450,0.0999,0.0173,-0.0299,-0.0038,-0.1557,0.1722,-0.0051,-0.0051,-0.0051,-0.0051,0.0465
0.1080,dirt,0.700,0.450,0.1121,0.0882,-0.0444,-0.0012,0.0301,-0.2070,-0.0068,-0.0068,-0.0068,-0.0068,0.0537
0.1200,dirt,0.700,0.450,0.1243,0.0025,0.0489,-0.0028,0.0262,-0.0851,-0.0107,-0.0107,-0.0107,-0.0107,0.0584
0.1320,dirt,0.700,0.450,0.1365,-0.0847,-0.0496,-0.0049,0.2615,-0.0720,-0.0252,-0.0251,-0.0252,-0.0252,0.0663
0.1440,dirt,0.700,0.450,0.1485,-0.0758,0.0932,-0.0018,0.1061,-0.0556,-0.0255,-0.0255,-0.0255,-0.0255,0.0708
0.1560,dirt,0.700,0.450,0.1605,-0.0549,-0.0389,-0.0010,-0.0269,0.0767,-0.0338,-0.0338,-0.0338,-0.0338,0.0752
0.1680,dirt,0.700,0.450,0.1723,-0.0887,-0.0191,-0.0051,0.1005,-0.0330,-0.0450,-0.0450,-0.0450,-0.0450,0.0818
0.1800,dirt,0.700,0.450,0.1841,0.0755,0.0329,-0.0017,0.0862,-0.1043,-0.0520,-0.0520,-0.0520,-0.0520,0.0894
0.1920,dirt,0.700,0.450,0.1957,-0.0419,0.0003,-0.0027,0.0320,-0.0319,-0.0703,-0.0703,-0.0703,-0.0703,0.0963
0.2040,dirt,0.700,0.450,0.2072,-0.0067,-0.0994,-0.0051,0.2181,-0.2371,-0.0823,-0.0823,-0.0823,-0.0823,0.1036
0.2160,dirt,0.700,0.450,0.2186,-0.0270,0.0535,-0.0021,-0.1602,1.7007,-0.1049,-0.1049,-0.1049,-0.1049,0.1074
0.2280,dirt,0.700,0.450,0.2298,-0.0599,-0.0583,-0.0027,0.0800,0.0489,-0.1283,-0.1283,-0.1283,-0.1283,0.1125
0.2400,dirt,0.700,0.450,0.2409,0.0346,0.0243,-0.0047,0.0775,-0.3829,-0.1502,-0.1501,-0.1502,-0.1502,0.1186
0.2520,dirt,0.700,0.450,0.2518,0.0766,-0.1012,-0.0032,0.1060,0.1358,-0.1767,-0.1767,-0.1767,-0.1767,0.1260
0.2640,dirt,0.700,0.450,0.2626,0.0318,0.0014,-0.0040,-0.0006,-0.1257,-0.2164,-0.2164,-0.2164,-0.2164,0.1320
0.2760,dirt,0.700,0.450,0.2732,0.0093,-0.0130,-0.0006,-0.0317,0.1959,-0.2357,-0.2357,-0.2357,-0.2357,0.1354
