t,terrain,n_true,throttle_cmd,steer_cmd,u,v,omega,ax,ay,wheel_omega_fl,wheel_omega_fr,wheel_omega_rl,wheel_omega_rr,steering_angle
0.0000,sand,1.100,0.750,0.0876,-0.0778,-0.0278,0.0000,-0.7108,0.0009,-0.0170,-0.0170,-0.0170,-0.0170,0.0000
0.0120,sand,1.100,0.750,0.1025,-0.0600,-0.0438,-0.0130,-0.4890,-0.5110,-0.0288,-0.0289,-0.0288,-0.0288,0.0188
0.0240,sand,1.100,0.750,0.1174,0.0305,-0.0016,-0.0148,-0.2625,-0.1163,-0.0053,-0.0053,-0.0053,-0.0053,0.0455
0.0360,sand,1.100,0.750,0.1321,-0.0042,0.0321,-0.0085,-0.3720,0.1190,0.0159,0.0158,0.0158,0.0158,0.0654
0.0480,sand,1.100,0.750,0.1468,-0.1010,0.0407,0.0011,0.5822,-0.2696,0.0222,0.0221,0.0221,0.0221,0.0709
0.0600,sand,1.100,0.750,0.1614,-0.0590,-0.0290,-0.0003,1.0814,0.0888,-0.0191,-0.0192,-0.0192,-0.0192,0.0711
0.0720,sand,1.100,0.750,0.1758,0.0077,0.0298,-0.0053,0.7367,-0.0082,-0.0236,-0.0237,-0.0237,-0.0236,0.0827
0.0840,sand,1.100,0.750,0.1902,-0.0846,-0.0861,-0.0059,-0.0705,-0.2343,-0.0179,-0.0180,-0.0180,-0.0180,0.0898
0.0960,sand,1.100,0.750,0.2044,-0.0559,0.0932,-0.0043,-0.4319,0.3955,-0.0209,-0.0210,-0.0209,-0.0209,0.0968
0.1080,sand,1.100,0.750,0.2185,0.0016,0.0329,-0.0029,0.1357,0.3027,-0.0302,-0.0303,-0.0303,-0.0303,0.1037
0.1200,sand,1.100,0.750,0.2325,-0.0671,-0.0342,-0.0033,0.1037,-0.0415,-0.0486,-0.0487,-0.0487,-0.0486,0.1116
0.1320,sand,1.100,0.750,0.2463,0.1284,0.0618,-0.0014,-0.0794,0.1188,-0.0671,-0.0672,-0.0671,-0.0671,0.1185
0.1440,sand,1.100,0.750,0.2600,-0.0604,-0.0489,-0.0020,0.0051,0.0054,-0.0933,-0.0934,-0.0934,-0.0934,0.1250
0.1560,sand,1.100,0.750,0.2735,0.0648,0.1250,-0.0023,0.0022,0.0382,-0.1214,-0.1215,-0.1215,-0.1215,0.1328
0.1680,sand,1.100,0.750,0.2868,-0.0233,0.0934,-0.0031,0.0136,-0.0238,-0.1685,-0.1687,-0.1686,-0.1686,0.1410
0.1800,sand,1.100,0.750,0.3000,-0.0464,-0.0670,-0.0019,-0.0000,-0.1714,-0.2049,-0.2051,-0.2050,-0.2050,0.1487
0.1920,sand,1.100,0.750,0.3130,0.0240,0.0051,-0.0024,0.0118,-0.0069,-0.2542,-0.2543,-0.2543,-0.2542,0.1543
0.2040,sand,1.100,0.750,0.3257,0.0886,-0.0657,-0.0011,-0.1072,-0.0998,-0.3115,-0.3116,-0.3116,-0.3115,0.1589
0.2160,sand,1.100,0.750,0.3383,0.0247,0.1036,-0.0036,-0.0496,0.0179,-0.3747,-0.3748,-0.3748,-0.3748,0.1654
0.2280,sand,1.100,0.750,0.3506,-0.0599,-0.1000,-0.0036,0.0084,-0.0343,-0.4520,-0.4521,-0.4521,-0.4521,0.1734
0.2400,sand,1.100,0.750,0.3628,-0.1103,0.0040,-0.0027,0.0267,-0.0333,-0.5291,-0.5292,-0.5292,-0.5292,0.1811
0.2520,sand,1.100,0.750,0.3747,-0.0048,0.0687,-0.0026,0.0484,0.0694,-0.6415,-0.6416,-0.6416,-0.6415,0.1877
0.2640,sand,1.100,0.750,0.3863,0.0143,0.0409,-0.0022,-0.2105,0.0743,-0.7331,-0.7332,-0.7332,-0.7332,0.1925
0.2760,sand,1.100,0.750,0.3977,-0.0139,0.0939,-0.0024,-0.0291,0.1741,-0.8597,-0.8598,-0.8598,-0.8598,0.1983
0.2880,sand,1.100,0.750,0.4089,-0.0011,0.0023,-0.0016,-0.0625,0.0467,-1.0038,-1.0040,-1.0039,-1.0039,0.2045
0.3000,sand,1.100,0.750,0.4198,0.0453,-0.0413,-0.0021,0.0955,0.1867,-1.1685,-1.1686,-1.1686,-1.1685,0.2114
0.3120,sand,1.100,0.750,0.4304,0.0055,0.0059,-0.0007,-0.0006,-0.0650,-1.3577,-1.3579,-1.3578,-1.3578,0.2170
0.3240,sand,1.100,0.750,0.4408,0.0064,0.0072,-0.0016,-0.1919,-0.1940,-1.5762,-1.5763,-1.5763,-1.5763,0.2214
0.3360,sand,1.100,0.750,0.4509,0.0727,0.0224,-0.0013,-0.0004,0.2391,-1.8202,-1.8203,-1.8203,-1.8203,0.2268
0.3480,sand,1.100,0.750,0.4607,0.0082,-0.0136,-0.0010,-0.0057,-0.0294,-2.0810,-2.0811,-2.0811,-2.0811,0.2338
0.3600,sand,1.100,0.750,0.4702,-0.0575,0.0454,-0.0013,0.0004,0.1871,-2.3625,-2.3626,-2.3626,-2.3625,0.2379
0.3720,sand,1.100,0.750,0.4794,0.0067,0.0025,-0.0006,0.0675,0.2406,-2.6996,-2.6997,-2.6997,-2.6997,0.2422
0.3840,sand,1.100,0.750,0.4883,-0.1304,0.0668,-0.0022,-0.0345,0.1812,-3.0347,-3.0348,-3.0348,-3.0348,0.2463
0.3960,sand,1.100,0.750,0.4970,0.0396,0.1153,-0.0022,-0.0517,0.3618,-3.3934,-3.3935,-3.3935,-3.3934,0.2526
0.4080,sand,1.100,0.750,0.5052,-0.0711,0.0907,-0.0001,-0.0790,0.1533,-3.7548,-3.7549,-3.7549,-3.7549,0.2582
0.4200,sand,1.100,0.750,0.5132,0.0799,0.0427,-0.0008,-0.0147,0.2175,-4.0225,-4.1871,-4.0543,-4.1777,0.2606
