filter,delay_s,mpc_delay_comp,n_runs,n_ok,collisions_mean,min_clearance_m_mean,rms_cte_m_mean,speed_ratio_mean,intervention_rate_pct_mean
none,0.0,on,1,1,0.0,0.3122000000000002,0.084327098104512,0.47796316,
mppi,0.0,on,1,1,0.0,0.6295000000000002,0.4157145967834187,0.4302793187347931,45.7
