name,estimated_runs,note,command
tire_models,128,Tracking/speed/runtime by tire model.,/home/ksha/miniconda3/envs/sim/bin/python -u /home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/mpc_tire_model_sweep.py --models pacejka tmeasy closed_loop_v2_rate_mlp closed_loop_v3_axle_rate_mlp --terrains clay sand --paths sinusoidal lane_change --speeds 5 7 --bumpiness 0 4 --seeds 2 --time 12.0 --base-port 61000
mpcc,128,MPCC versus retuned standard MPC at high speed.,/home/ksha/miniconda3/envs/sim/bin/python -u /home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/mpcc_vs_mpc_speed_tracking.py --variants standard_mpc_soft_speed standard_mpc_overspeed_cap mpcc_balanced_tracking mpcc_less_speed_cap --terrains clay sand --paths sinusoidal lane_change --speeds 5 7 --bumpiness 0 4 --seeds 2 --time 12.0 --base-port 71000
safety,128,Obstacle safety shield comparison.,/home/ksha/miniconda3/envs/sim/bin/python -u /home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/safety_filter_sweep.py --flavors none dob_cbf mppi nmpc --terrains clay sand --paths sinusoidal lane_change --speeds 5 7 --bumpiness 0 4 --seeds 2 --time 12.0 --base-port 81000
dob_cbf_ablation,96,DOB-CBF NN usage ablation.,/home/ksha/miniconda3/envs/sim/bin/python -u /home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/dob_cbf_nn_ablation.py --variants no_filter dob_cbf_nn dob_cbf_no_nn --terrains clay sand --paths sinusoidal lane_change --speeds 5 7 --bumpiness 0 4 --seeds 2 --time 12.0 --base-port 91000
autonomous_obstacle_tire,128,Autonomous obstacle avoidance by MPC tire model under fixed MPPI shield.,/home/ksha/miniconda3/envs/sim/bin/python -u /home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/autonomous_obstacle_tire_model_sweep.py --models pacejka tmeasy closed_loop_v2_rate_mlp closed_loop_v3_axle_rate_mlp --safety-flavor mppi --mpc-blind-obstacles --terrains clay sand --paths sinusoidal lane_change --speeds 5 7 --bumpiness 0 4 --seeds 2 --time 12.0 --base-port 101000
terrain_estimator,64,Terrain estimator under excited sinusoidal maneuvers.,/home/ksha/miniconda3/envs/sim/bin/python -u /home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/terrain_estimator_benchmark.py --distributions id ood --terrains clay sand --paths sinusoidal --speeds 5 7 --bumpiness 0 4 --seeds 2 --ood-terrains 6 --time 20 --metric-start 8 --base-port 111000
latency_profile,0,Latency profile raw samples and figures.,/home/ksha/miniconda3/envs/sim/bin/python -u /home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/latency_profile_figure.py --profile-json /home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/config/latency_profiles/5g_nhits_youtube_ul_scm_youtube_ul_smoke.json
latency_compensation,96,5G-profile command/camera latency robustness.,/home/ksha/miniconda3/envs/sim/bin/python -u /home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/paper_scripts/latency_compensation_sweep.py --filters none dob_cbf mppi --latency-profile-json /home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Teleop/config/latency_profiles/5g_nhits_youtube_ul_scm_youtube_ul_smoke.json --terrains clay sand --paths sinusoidal lane_change --speeds 5 7 --bumpiness 0 4 --seeds 2 --time 12.0 --base-port 121000
