time,control_delay_s,manual_delay_s,camera_delay_s
0.000000,0.013923,0.013923,0.028188
0.051000,0.011032,0.011032,0.023996
0.102000,0.011513,0.011513,0.024693
0.153000,0.019055,0.019055,0.035630
0.204000,0.012491,0.012491,0.026111
0.255000,0.058130,0.058130,0.092288
0.306000,0.006906,0.006906,0.018014
0.357000,0.019268,0.019268,0.035938
0.408000,0.010645,0.010645,0.023435
0.459000,0.016709,0.016709,0.032228
0.510000,0.013598,0.013598,0.027717
0.561000,0.019303,0.019303,0.035989
0.612000,0.012079,0.012079,0.025514
0.663000,0.017185,0.017185,0.032918
0.714000,0.015297,0.015297,0.030180
0.765000,0.014144,0.014144,0.028508
0.816000,0.008867,0.008867,0.020856
0.867000,0.010673,0.010673,0.023475
0.918000,0.011244,0.011244,0.024303
0.969000,0.016486,0.016486,0.031904
1.020000,0.027294,0.027294,0.047576
1.071000,0.014399,0.014399,0.028878
1.122000,0.022144,0.022144,0.040108
1.173000,0.013699,0.013699,0.027864
1.224000,0.011110,0.011110,0.024110
1.275000,0.009680,0.009680,0.022036
1.326000,0.016649,0.016649,0.032141
1.377000,0.011797,0.011797,0.025106
1.428000,0.011160,0.011160,0.024183
1.479000,0.017125,0.017125,0.032831
1.530000,0.024705,0.024705,0.043822
1.581000,0.016056,0.016056,0.031281
1.632000,0.015825,0.015825,0.030946
1.683000,0.015888,0.015888,0.031037
1.734000,0.011603,0.011603,0.024825
1.785000,0.011494,0.011494,0.024666
1.836000,0.011284,0.011284,0.024361
1.887000,0.016214,0.016214,0.031510
1.938000,0.010580,0.010580,0.023342
1.989000,0.016792,0.016792,0.032349
2.040000,0.022273,0.022273,0.040296
2.091000,0.450000,0.450000,0.660500
2.142000,0.019211,0.019211,0.035855
2.193000,0.015629,0.015629,0.030662
2.244000,0.009653,0.009653,0.021997
2.295000,0.014549,0.014549,0.029095
2.346000,0.013244,0.013244,0.027203
2.397000,0.012734,0.012734,0.026465
2.448000,0.016641,0.016641,0.032130
2.499000,0.013261,0.013261,0.027229
2.550000,0.023630,0.023630,0.042263
2.601000,0.020634,0.020634,0.037919
2.652000,0.015351,0.015351,0.030259
2.703000,0.012311,0.012311,0.025851
2.754000,0.016806,0.016806,0.032369
2.805000,0.007361,0.007361,0.018674
2.856000,0.011871,0.011871,0.025213
2.907000,0.017271,0.017271,0.033044
2.958000,0.013604,0.013604,0.027725
3.009000,0.012449,0.012449,0.026052
3.060000,0.011102,0.011102,0.024098
3.111000,0.010628,0.010628,0.023411
3.162000,0.017896,0.017896,0.033950
3.213000,0.015133,0.015133,0.029943
3.264000,0.017100,0.017100,0.032795
3.315000,0.028843,0.028843,0.049823
3.366000,0.013594,0.013594,0.027711
3.417000,0.050360,0.050360,0.081022
3.468000,0.024949,0.024949,0.044177
3.519000,0.010908,0.010908,0.023816
3.570000,0.015885,0.015885,0.031033
3.621000,0.016296,0.016296,0.031629
3.672000,0.039742,0.039742,0.065625
3.723000,0.013267,0.013267,0.027237
3.774000,0.011014,0.011014,0.023971
3.825000,0.016688,0.016688,0.032197
3.876000,0.015747,0.015747,0.030833
3.927000,0.020164,0.020164,0.037238
3.978000,0.013649,0.013649,0.027791
4.029000,0.012771,0.012771,0.026519
4.080000,0.013348,0.013348,0.027354
4.131000,0.013125,0.013125,0.027031
4.182000,0.011734,0.011734,0.025014
4.233000,0.019810,0.019810,0.036725
4.284000,0.011024,0.011024,0.023985
4.335000,0.013118,0.013118,0.027021
4.386000,0.012825,0.012825,0.026597
4.437000,0.012186,0.012186,0.025670
4.488000,0.026630,0.026630,0.046614
4.539000,0.031281,0.031281,0.053358
4.590000,0.011374,0.011374,0.024492
4.641000,0.019678,0.019678,0.036533
4.692000,0.010076,0.010076,0.022609
4.743000,0.010426,0.010426,0.023118
4.794000,0.012646,0.012646,0.026337
4.845000,0.017309,0.017309,0.033098
4.896000,0.013238,0.013238,0.027195
4.947000,0.007421,0.007421,0.018760
4.998000,0.023305,0.023305,0.041793
5.049000,0.022434,0.022434,0.040530
5.100000,0.022992,0.022992,0.041339
5.151000,0.011780,0.011780,0.025081
5.202000,0.011019,0.011019,0.023978
5.253000,0.012976,0.012976,0.026816
5.304000,0.018801,0.018801,0.035261
5.355000,0.012356,0.012356,0.025916
5.406000,0.020893,0.020893,0.038295
5.457000,0.013438,0.013438,0.027486
5.508000,0.112198,0.112198,0.170687
5.559000,0.013577,0.013577,0.027687
5.610000,0.021511,0.021511,0.039190
5.661000,0.013416,0.013416,0.027453
5.712000,0.016385,0.016385,0.031759
5.763000,0.094834,0.094834,0.145509
5.814000,0.015287,0.015287,0.030167
5.865000,0.015379,0.015379,0.030299
5.916000,0.450000,0.450000,0.660500
5.967000,0.031293,0.031293,0.053375
6.018000,0.016522,0.016522,0.031957
6.069000,0.007422,0.007422,0.018762
6.120000,0.019051,0.019051,0.035625
6.171000,0.033759,0.033759,0.056950
6.222000,0.011408,0.011408,0.024541
6.273000,0.015422,0.015422,0.030362
6.324000,0.016400,0.016400,0.031780
6.375000,0.013380,0.013380,0.027401
6.426000,0.013245,0.013245,0.027206
6.477000,0.012241,0.012241,0.025749
6.528000,0.017622,0.017622,0.033552
6.579000,0.036689,0.036689,0.061199
6.630000,0.012160,0.012160,0.025633
6.681000,0.450000,0.450000,0.660500
6.732000,0.008217,0.008217,0.019915
6.783000,0.011955,0.011955,0.025335
6.834000,0.011827,0.011827,0.025149
6.885000,0.013353,0.013353,0.027362
6.936000,0.017864,0.017864,0.033902
6.987000,0.014104,0.014104,0.028451
7.038000,0.012232,0.012232,0.025737
7.089000,0.012273,0.012273,0.025796
7.140000,0.016294,0.016294,0.031626
7.191000,0.008489,0.008489,0.020310
7.242000,0.018329,0.018329,0.034578
7.293000,0.100684,0.100684,0.153992
7.344000,0.015514,0.015514,0.030495
7.395000,0.006474,0.006474,0.017387
7.446000,0.010233,0.010233,0.022838
7.497000,0.016611,0.016611,0.032085
7.548000,0.011577,0.011577,0.024787
7.599000,0.015636,0.015636,0.030672
7.650000,0.004000,0.004000,0.013800
7.701000,0.014441,0.014441,0.028940
7.752000,0.019651,0.019651,0.036494
7.803000,0.013018,0.013018,0.026877
7.854000,0.018151,0.018151,0.034319
7.905000,0.011324,0.011324,0.024420
7.956000,0.014149,0.014149,0.028516
8.007000,0.126924,0.126924,0.192040
8.058000,0.114588,0.114588,0.174152
8.109000,0.450000,0.450000,0.660500
8.160000,0.156931,0.156931,0.235550
8.211000,0.146822,0.146822,0.220892
